\xe5\xb0\x9a\xe6\x96\xb9\xe5\x8a\x8d\xe6\x93\x8a\xe6\x96\xb0\xe6\x98\x9f\xe8\xb3\xbd2022 (\xe9\xa4\xa8\xe5\x85\xa7\xe8\xb3\xbd):    October 4, 2022
Challenge Cups Fencing Championships:    October 2, 2022 - November 6, 2022
\xe4\xb8\x89\xe6\xad\xa6\xe5\xa3\xab\xe5\xb0\x9a\xe6\x96\xb9\xe9\x87\x8d\xe5\x8a\x8d\xe9\x9a\x8a\xe5\x88\xb6\xe9\x82\x80\xe8\xab\x8b\xe8\xb3\xbd 2022:    October 2, 2022
2022 Epic Fall Cup (Alberta Cup #1):    October 1, 2022 - October 2, 2022
\xe7\x81\x8f\xe8\xbe\xb0\xe4\xbd\x93\xe8\x82\xb2\xe5\x87\xbb\xe5\x89\x91\xe5\xa5\x96\xe9\x87\x91\xe8\xb5\x9b:    October 1, 2022 - October 3, 2022
2022 Australian Fencing Circuit #3:    September 30, 2022 - October 2, 2022
111\xe5\xb9\xb4\xe5\x85\xa8\xe5\x9c\x8b\xe7\xac\xac\xe4\xb8\x89\xe6\xac\xa1\xe9\x9d\x92\xe5\xb9\xb4\xe6\x9a\xa8\xe9\x9d\x92\xe5\xb0\x91\xe5\xb9\xb4\xe6\x93\x8a\xe5\x8a\x8d\xe9\x8c\xa6\xe6\xa8\x99\xe8\xb3\xbd:    September 30, 2022 - October 2, 2022
CUPA ROMANIEI SABIE Cadeti si Juniori:    September 29, 2022 - October 2, 2022
Cupa Romaniei Cadeti si Juniori spada:    September 29, 2022 - October 2, 2022
Egypt Cup(1) U20:    September 29, 2022 - September 30, 2022
BDO vehklemist\xc3\xa4ht:    September 28, 2022
\xe5\x8d\x81\xe5\x85\xab\xe9\x84\x89\xe7\xac\xac\xe4\xba\x8c\xe6\x97\x8555\xe5\x91\xa8\xe5\xb9\xb4\xe5\x8a\x8d\xe6\x92\x83\xe9\x82\x80\xe8\xab\x8b\xe8\xb3\xbd:    September 26, 2022
Randstad Hofstadtoernooi:    September 25, 2022
Kupittaa EVF Turku 2022:    September 25, 2022
UniSport Nationals 2022:    September 25, 2022 - September 28, 2022
UniSport Nationals:    September 25, 2022 - September 28, 2022
UniSport Nationals 2022:    September 25, 2022 - September 28, 2022
AFHK 2022Q3 Competition (Week 7):    September 25, 2022
2022 SINGAPORE SENIOR CHALLENGE:    September 25, 2022 - October 22, 2022
Novice & B-Grade State Championships:    September 25, 2022
DCFC Champagne Challenge:    September 25, 2022
FAP-North D2 Foil,  W Foil D2:    September 25, 2022
Halberstadt Y10 Boys, Y10 Girls Foil:    September 25, 2022
Kupittaa Tournament 2022:    September 24, 2022
3rd Leg National Opens:    September 24, 2022 - September 25, 2022
Federal 4ta Etapa:    September 24, 2022 - September 25, 2022
Campeonato Nacional An\xc3\xadbal Illueca:    September 24, 2022
1er Ranking Nacional de Florete Temp. 2022-2023:    September 24, 2022 - September 25, 2022
FIE Satellite Tournament:    September 24, 2022 - September 25, 2022
The 9-State Fencing Cup RYC/RCC:    September 24, 2022 - September 25, 2022
Vehklemiskoolitus ja turniir:    September 24, 2022
Neil Lazar Div1A/Div2/Veteran ROC:    September 24, 2022 - September 25, 2022
Kup Velesajma 2022. godine:    September 24, 2022 - September 25, 2022
Virginia Tech Open 2022:    September 24, 2022 - September 25, 2022
MEMORIALUL \xc8\x98TEFAN MOLDANSCHI editia V-a:    September 24, 2022 - September 25, 2022
XI turniej \xe2\x80\x9eO Puchar Prezydenta Miasta Gda\xc5\x84ska" indywidualnie i dru\xc5\xbcynowo:    September 24, 2022 - September 25, 2022
Rocky Mountain RYC - Fall:    September 24, 2022 - September 25, 2022
U10 U12 U4 K\xc4\xb1l\xc4\xb1\xc3\xa7 A\xc3\xa7\xc4\xb1k Turnuvalar\xc4\xb1:    September 24, 2022 - September 25, 2022
4ta Fecha Federal 2022:    September 24, 2022 - September 25, 2022
COPA DE ESPADA POR EQUIPOS 2022 "PROF. MANUEL FLORES":    September 24, 2022
